MKSA - LOG
Una linea por hito. Formato: YYYY-MM-DD HH:MM | etapa | que se hizo
2026-07-23 18:43 | T3 Hot Toggle Genérico | Implementación completa del Toggle caliente genérico Tier 3 (18 secciones): ModsScreen (supportedDisable eliminado, toggleState/toggleCapability dinámicos, chips ricos ON/OFF/APAGANDO/RESTAURANDO/ROLLBACK/ERROR); BridgeProxy (toggleError y ActionResult enriquecido); TogglePlan (plan inmutable con detección de staleness); ToggleMetrics (muestreo 10s antes/después de heap/GC/CPU/threads con confianza); ToggleService (servicio único con lock global, transacción 15 pasos disable, enable desde registros guardados, rollback automático, jvmDiagnostics JBR21); Ledger (eliminado gate canLowerDecision y TIER3_DEMIX_NOT_EXECUTABLE, emite toggleState/toggleCapability real en modThinListMods); Tier3ShapePreservingDemix (prefijos de inyección derivados dinámicamente de victimMixins); Tier3MixinAudit (enums DemixMode.ADAPTER y ExternalConsumerClassification). fable-agent.jar y mksa-thin.jar compilados y empaquetados OK.

2026-07-23 08:54 | T3 Plan Maestro P2 | Interfaz, métricas y cierre definitivo: supportedDisable eliminado de la UI a favor de toggleCapability/toggleState dinámicos; visibleRows recomputado dinámicamente; ToggleService unificado (preview con caducidad/PLAN_STALE, apply, status, cancel); MetricsSampler (muestreo delta de FPS, RAM, GC pauses, MSPT); arquitectura de adaptadores HotToggleAdapter y Tier3AdapterRegistry. Verificación en vivo OK.

2026-07-23 08:39 | T3 Plan Maestro P1 | Motor Tier 3 rediseñado: Tier3RuntimeState (máquina 9 estados), Tier3ShapePreservingDemix (modo PRESERVE_SHAPE), eliminación de whitelists hardcodeadas (targetsForNamespace 100% dinámico), micro-smoke JBR21 en Boot.java. Verificación OK con 18/18 targets activos.

2026-07-23 06:53 | T3 chat_heads | Audited & Hash-pinned external shape consumer classes: 18/18 targets de chat_heads con externalShapeConsumers.allKnown=true y fieldSafety.allKnown=true (0 targets bloqueados, 13 RESET / 5 REPLAY). demixPlan.externalShapeConsumerTrust pasa a "no_external_shape_consumer_found", blocker superado completamente.

2026-07-23 05:50 | T3 chat_heads | Diagnostico exacto de t3.mixinPlan(ns=chat_heads) ejecutado en vivo: 18 targets totales, fieldSafety.allKnown=true en todos (0 campos @Unique unknown); 11 targets allKnown=true completos (RESET/REPLAY); 7 targets con externalShapeConsumers.allKnown=false por clases consumidoras externas con reflection_risk.

2026-06-12 22:44 | F2 inc.2 | NeoForge/Forge: enumeracion de mods (ModList/IModInfo)
2026-06-12 22:44 | F2 inc.2 | agente: gate de arranque por instancia del cliente (no pantalla de titulo)
2026-06-12 22:44 | F2 inc.2 | agente: openModule (JPMS) + Wcg prueba todos los holders cargados
2026-06-12 22:44 | F2 inc.2 | launcher: lanzamiento NeoForge (ForgeWrapper, mavenFiles, dedup classpath asm)
2026-06-12 22:44 | F2 inc.2 | verify: --fase2-neo OK (NeoForge 6188 entradas) y --fase2 OK (Fabric 8025)
2026-06-12 22:44 | F2 inc.2 | CERRADO. Siguiente: inc.3 tiers v0 + aristas de referencia Plano A
2026-06-13 00:05 | F2 inc.3 | Tier.java: clasificacion por intrusividad estructural sobre raices del jar (universal, sin rama por loader)
2026-06-13 00:05 | F2 inc.3 | reglas v0: sin .class -> T0; mixins/coremods -> T3; codigo sin mixins -> T2 conservador; null si no inspeccionable
2026-06-13 00:05 | F2 inc.3 | senal mixin universal *.mixins.json + coremods (coremods.json, ITransformationService, FMLCorePlugin)
2026-06-13 00:05 | F2 inc.3 | raices: Fabric getRootPaths; Forge/Neo SecureJar.getRootPath (fallback getFilePath), via interfaces SPI por JPMS
2026-06-13 00:05 | F2 inc.3 | verify: --fase2 OK (Fabric 70 mods: T0=3 T2=15 T3=52) y --fase2-neo OK (Neo 22 mods: T2=4 T3=18)
2026-06-13 00:05 | F2 inc.3 | correccion: aristas de referencia son F4 (wcg.refs, protocolo linea 187), fuera de inc.3. CERRADO
2026-06-13 00:57 | F2 inc.4 | Tier.java: refinar T1<->T2 por capacidad estatica (escaneo del constant pool de los .class), no captura en vivo
2026-06-13 00:57 | F2 inc.4 | SUBSCRIPTION_MARKERS como datos (bus/api/IEventBus, SubscribeEvent, EventBusSubscriber, SimpleChannel; fabric/api/event/Event, networking; QSL), escaneo uniforme sin rama por loader
2026-06-13 00:57 | F2 inc.4 | heuristica conservadora: ante duda T2; .class ilegible cuenta como runtime; T1 solo tras escaneo completo y limpio
2026-06-13 00:57 | F2 inc.4 | inspect() dos pasadas con el FS abierto: nombres+manifest (T3/T0) y luego contenido (T1/T2), T3 no paga el escaneo de bytecode
2026-06-13 00:57 | F2 inc.4 | verify: aserto T1>=1 solo en Fabric (Neo: DeferredRegister arrastra IEventBus, T1 bajo legitimo)
2026-06-13 00:57 | F2 inc.4 | verify: --fase2 OK (Fabric T0=3 T1=7 T2=8 T3=52) y --fase2-neo OK (Neo T0=0 T1=1 T2=3 T3=18). Plano B en vivo movido a fase de mutacion. CERRADO
2026-06-13 03:14 | F2 inc.5 P1 | ledger v1 de-risk: inyeccion ASM en SerializableChunkData (write/parse), Bridge en bootstrap, seccion mksa:prov {v,epoch}
2026-06-13 03:14 | F2 inc.5 P1 | FIX: ASM no puede ir en el agent jar (javaagent va al classpath del sistema, Fabric LoaderUtil aborta por ASM duplicado)
2026-06-13 03:14 | F2 inc.5 P1 | ASM+ledger en mksa-ledger.jar anidado, cargado en URLClassLoader aislado child-first; build.sh reescrito (3 artefactos) + checks
2026-06-13 03:14 | F2 inc.5 P1 | launcher: quickplay opcional en build_game_args (MKSA_QUICKPLAY_WORLD); verify --fase2-ledger + lector de region (.mca)
2026-06-13 03:14 | F2 inc.5 P1 | verify --fase2-ledger OK: A written=661/readTotal=920, mksa:prov en 4 region files; B readWithProv=441 (roundtrip). CERRADO
2026-06-13 03:46 | F2 inc.5 P2 | ledger: epoca real (hash del modset, FNV-1a 64) sellada en mksa:prov.epoch; agregado de presencia en memoria
2026-06-13 03:46 | F2 inc.5 P2 | LedgerSink (bootstrap) + Ledger (system CL): escaneo de palette + decode del array empaquetado en los hooks read/write
2026-06-13 03:46 | F2 inc.5 P2 | reflexion NBT propia robusta (get(String)->Tag, instanceof List, toString, long[]) evitando getters Optional de 1.21.5
2026-06-13 03:46 | F2 inc.5 P2 | IPC: state.epoch real + wcg.counts nuevo (agregado §5.3); build.sh paso 3 -cp out-bridge
2026-06-13 03:46 | F2 inc.5 P2 | verify --fase2-ledger2 OK: epoch=7502973..., wcg.counts minecraft 11.6M bloques/118 chunks; regresion P1 OK. CERRADO
2026-06-13 16:50 | harness | diagnostico: corrupcion de 'New World' NO era pre-existente; causa = verify mataba con taskkill /F a media escritura de .mca (chunks [0,0])
2026-06-13 16:50 | harness | prueba: Paso 1 con sleep(25s) pre-kill = 0 corrupcion; Paso 2+ sin esperar = corrupcion (4 reportes 03:45 -> ~255 hoy 16:xx). Ledger la agrava (scan ralentiza el guardado), no la causa
2026-06-13 16:50 | harness | FIX verify-fase1.rs::kill_pid: WM_CLOSE (taskkill sin /F) -> guardado limpio, espera al exit, escala a /F solo tras 60s
2026-06-13 16:50 | harness | mundo de pruebas: New World (corrupto) se deja como historial; harness apunta a 'mksa-test' (pendiente: crearlo en el juego). Evidencia en _mundo-corrupto-historial/
2026-06-13 17:30 | harness | reaparecio la corrupcion en mksa-test: el cierre con gracia se atasca a media carga (shutdown watchdog de MC) y escala a /F -> el fallback ERA el corruptor
2026-06-13 17:30 | harness | FIX de raiz: helper quiesce() espera a que written (ledger.stats) deje de crecer (mundo en reposo) antes de cerrar; intercalado en ledger/ledger2/ledger3
2026-06-13 17:30 | harness | con el mundo quieto WM_CLOSE cierra limpio (como ledger2); el /F de kill_pid queda solo como red de seguridad que no se dispara. Pendiente: recrear mksa-test y re-verificar
2026-06-13 20:18 | F2 inc.5 P3 | DIAGNOSTICO CORREGIDO: la corrupcion NO era el kill ni quiesce ni el copiado; el agente corrompe en cualquier guardado normal (confirmado abriendo plantilla con MKSA)
2026-06-13 20:18 | F2 inc.5 P3 | bisect (auditor NBT propio + plantilla limpia): todo-off carga limpio; solo class_2852 rompe; solo write hook limpio -> culpable el read hook (parse) -> scan()
2026-06-13 20:18 | F2 inc.5 P3 | CAUSA RAIZ: Ledger.resolveGet resolvia 'el primer (String)->Tag' y en 1.21.11 hay dos (get=Map.get y remove=Map.remove); cogia remove -> scan BORRABA xPos/zPos/sections (mksa:prov sobrevive por re-add). Prueba en bytecode (method_10580 get / method_10551 remove)
2026-06-13 20:18 | F2 inc.5 P3 | FIX Ledger.resolveGet: desambiguar por comportamiento (doble-invoke; el getter no muta, remove devuelve null la 2a vez). put es inequivoco (un solo candidato), no se toca
2026-06-13 20:18 | F2 inc.5 P3 | verify con fix, plantilla limpia: --fase2-ledger roundtrip OK (readWithProv=31), --fase2-ledger2 epoch+wcg.counts OK (7.96M bloques/81 chunks), --fase2-ledger3 moddedBlocks=540 setBlocks=266 OK. Disco 3481 chunks 0 corrupcion en las 3. CERRADO
2026-06-13 20:18 | F2 inc.5 P3 | nota: quiesce() queda redundante (no era requisito de correctitud del ledger, solo del diagnostico falso); candidato a borrar en limpieza
2026-06-14 05:30 | F3 corte 1 | agente: state.mods.files (ruta en disco del jar de cada mod; Fabric getOrigin().getPaths(), Forge/Neo getFilePath). Campo aditivo (protocolo 2.1)
2026-06-14 05:30 | F3 corte 1 | launcher: relaunch_disable (cierra A con WM_CLOSE, mueve jars a mksa/disabled/, lanza B saltando el guard de instancia unica); restore_mods reversible; comando Tauri
2026-06-14 05:30 | F3 corte 1 | FIX carrera IPC: attach_session reintenta (10x600ms) + try_attach_once; el supervisor desplazaba al verificador tras el handshake (1.4 'el mas reciente gana'). El verificador reconecta despues y gana permanente
2026-06-14 05:30 | F3 corte 1 | seleccion de victima: tier como garantia de CAPACIDAD + WCG como EVIDENCIA observada (no compiten). Prioridad: T0 hoja; si no, hoja aislable con wcg.counts==0, desempate por tier mas bajo. Razon logueada
2026-06-14 05:30 | F3 corte 1 | FIX jar-in-jar: una victima re-provista nested por otro mod habilitado no se desactiva al mover su jar standalone (placeholder-api embarcado en modmenu). nested_providers escanea META-INF/jars/*.jar; isolable descarta si queda contenedor sin mover
2026-06-14 05:30 | F3 corte 1 | verify --fase3-relaunch OK 26/0: victima=mcwstairs (T1, blocks=0, hoja, no-nested); B no ve el mod, epoch cambio (681fea41->71d13867), B cargo el mundo de A (557 chunks), disco 0 corrupcion, instancia restaurada. CERRADO
2026-06-14 05:30 | F3 corte 1 | APRENDIZAJE (durable, proyecto.md 3.13): la seguridad de la victima NO se infiere de metadatos estaticos (tier, deps). Criterio = capacidad (tier) + evidencia observada (WCG) + estructura fisica (jar-in-jar). De 'victim=T0 leaf' a 'aislable + sin dependientes + sin presencia relevante + sin re-provision JiJ'
2026-06-14 05:30 | F3 corte 1 | CAMBIO DE INCOGNITA: con A->B demostrado sobre contenido real del mundo (557 chunks reales, no demo artificial), la pregunta de F3 deja de ser '¿es posible?' y pasa a '¿como refinamos la experiencia?'. Estado: F2 cerrada, ledger/epoch/WCG ok, relaunch ok, seleccion robustecida, JiJ resuelto
2026-06-14 06:00 | F3 corte 2 | HIPOTESIS DECLARADA (sin implementar, proyecto.md): el corte 1 esquivo el caso incomodo (wcg.counts==0 = victima sin huella). Incognita: ¿el relaunch necesita saneamiento por ledger para ser universal? Forma afilada: tras B reescribir el mundo sin el mod, ¿queda info para que C restaure?
2026-06-14 06:00 | F3 corte 2 | bifurcacion A/A'/B: A tolera no-destructivo (huella sobrevive roundtrip -> ledger=optimizacion); A' tolera destructivo (huerfano->aire reescrito -> ledger+restore=requisito de reversibilidad); B crash/corrupcion (ledger=requisito de correctitud)
2026-06-14 06:00 | F3 corte 2 | deteccion: (1) B game-ready, (2) auditor xPos, (3) bytes del ns de la victima en palette del .mca TRAS re-guardado de B (separa A de A'), (4) reactivar en C -> wcg.counts vuelve >0. Mide si el ledger tiene derecho a ser mecanismo; NO construye el barrido. Decide cual roadmap es el real
2026-06-14 06:20 | F3 corte 2 | REFINADO: deteccion per-chunk (no per-region) con snapshot ANTES (A muerta, B sin escribir) y DESPUES; epoch como detector de RESERIALIZACION (escritura, no lectura). epoch_A+presente = inconcluso (no 'B no lo toco'). Ciclo C fuera del minimo
2026-06-14 06:20 | F3 corte 2 | sin tocar produccion: close_game_gracefully/stage_out_mods/pid_alive ya pub; paso-1 de relaunch_disable cierra solo si halla vivo -> no-op. epoch en disco (mksa:prov.epoch) == state.epoch.epoch (epochHash FNV-1a64)
2026-06-14 06:20 | F3 corte 2 | LIMITES en docs: el corte NO demuestra reversibilidad, demuestra conservacion/perdida observable de la huella (presencia=proxy de 'persistio', no de 'restaurable'). A' es el resultado que invalida arquitectura: ledger pasa de optimizacion a candidato a requisito (3.8/3.12)
2026-06-14 21:52 | F3 corte 2  | EJECUTADO -> A': con el mod puesto coloco escaleras, cierro y relanzo SIN el mod. Al reguardar, Minecraft convierte el bloque desconocido en aire y lo escribe en disco -> la huella se pierde para siempre (no es recuperable)
2026-06-15 01:11 | F3 corte 2b | EJECUTADO -> A' (variante --fase3-inv): mismo experimento con un item del mod en la MOCHILA (no colocado). Al relanzar sin el mod descarta el item y reescribe el playerdata sin el -> misma perdida. La perdida es sistemica: mundo Y jugador
2026-06-15 01:11 | F3 corte 2  | VEREDICTO: el ledger + archivo de restauracion pasan de 'optimizacion' a REQUISITO para que desactivar un mod sea REVERSIBLE; el saneamiento antes de cerrar debe cubrir chunks Y playerdata. Siguiente: corte 3 (barrido dirigido por el ledger en A antes de cerrar)
2026-06-15 03:00 | F3 corte 3 | ledger.sweepArm{ns,path} (IPC aditivo): arma el barrido dirigido en A; el launcher provee la ruta del restore file (el agente no tiene handle al servidor)
2026-06-15 03:00 | F3 corte 3 | captura por piggyback en el save de cierre (sin handle vivo): write-hook de chunk captura bloques (pos global + NBT de la entrada de palette + be_nbt best-effort); hook nuevo NbtIo.writeCompressed captura items del playerdata (Inventory+EnderItems)
2026-06-15 03:00 | F3 corte 3 | transformer: nuevo objetivo NbtIo (class_2507) writeCompressed detectado estructuralmente (static void, CompoundTag + sink JDK File/Path/OutputStream; excluye write(.,DataOutput) del RegionFile). Boundary estable frente a ValueOutput de 1.21.5+
2026-06-15 03:00 | F3 corte 3 | archivo de restauracion (estreno §7): formato binario propio MKSAR1 (NBT completo via Tag.write(DataOutput)), dedup por pos/(uuid,slot), flush por registro. SQLite §7 sigue diferido (como index.db)
2026-06-15 03:00 | F3 corte 3 | EJECUTADO OK (--fase3-sweep): captura 5 bloques + 5 items (ns fiel 100%) ANTES de cerrar A; B destruye la huella en mundo Y playerdata (A' re-confirmado en vivo: 'Unknown registry key'/'Failed to decode'), disco 0 corrupcion; el restore file SOBREVIVE intacto = unica copia. ESTRENO DEL LEDGER COMO MECANISMO
2026-06-15 03:00 | F3 corte 3 | VEREDICTO: la reversibilidad pasa de IMPOSIBLE (corte 2) a POSIBLE. Alcance = captura+suficiencia; la re-inyeccion (consumir el restore con politica de conflicto §7) es el corte 4. CERRADO
2026-06-15 04:10 | F3 corte 4 | re-inyeccion read-hook (sin handle vivo): onChunkRead inyecta los bloques de la victima en el NBT del chunk ANTES de parse() -> C reconstruye el chunk CON la huella (su modset resuelve el ns). Cero cambios en el transformer
2026-06-15 04:10 | F3 corte 4 | DE-RISK ok: reconstruir Tag vivo desde los bytes de la captura (corte 3) via TagType.load(DataInput, NbtAccounter) resuelto por forma -- inverso EXACTO de Tag.write(DataOutput). re-encode del array empaquetado (inverso de scan) + politica de conflicto §7 (celda no-aire -> omitir)
2026-06-15 04:10 | F3 corte 4 | ledger.restoreArm{path} (IPC aditivo) + ledger.stats con restoredBlocks/restoreConflicts/restoreMisses/restoring
2026-06-15 04:10 | F3 corte 4 | EJECUTADO OK (--fase3-restore, ciclo A->B->C): A captura 3 bloques, B destruye (A'), C RE-INYECTA: restoredBlocks=3 conflicts=0 misses=0, wcg.counts vuelve a 3 EN VIVO, la huella REAPARECE en el .mca tras re-guardar C. Disco 0 corrupcion en las 3. EL LEDGER ESCRIBE AL MUNDO POR PRIMERA VEZ
2026-06-15 04:10 | F3 corte 4 | VEREDICTO: bucle de reversibilidad CERRADO para bloques. Items (ItemStack opaco, components 1.20.5+) = corte 4b. Reconstruccion in-process real (§3.5) sigue siendo el end-goal. CERRADO
2026-06-15 21:27 | F3 corte 4b | CAUSA RAIZ CORREGIDA: onPlayerRead colgaba de NbtIo.readCompressed (el host en singleplayer lee el tag de level.dat, nunca del .dat; y el decode migro a codec/ValueInput en 1.20.5). Hook movido a TagValueInput.create (class_11352/mojmap TagValueInput): static, devuelve ValueInput, toma CompoundTag — punto de convergencia universal del lado-lectura ANTES de que el tag quede solo-lectura
2026-06-15 21:27 | F3 corte 4b | transformer: nuevo objetivo TagValueInput (class_11352/mojmap), VALUE_INPUT_CLASSES (class_11368), TagValueInputVisitor + ValueInputCreateHookVisitor. Eliminados: isCompressedRead, IO_SOURCE_TYPES, CompressedReadHookVisitor (NbtIo solo conserva el write-hook de captura)
2026-06-15 21:27 | F3 corte 4b | bridge: onCompressedRead -> onValueInputCreate (misma estructura, delega en sink.onPlayerRead)
2026-06-15 21:27 | F3 corte 4b | ledger: onPlayerRead endurece la deteccion de jugador con isPlayerTag (abilities/playerGameType/EnderItems): TagValueInput.create es generico, un villager tambien tiene Inventory — sin el filtro la rama wildcard le inyectaria el item
2026-06-15 21:27 | F3 corte 4b | EJECUTADO OK (--fase3-restore-items, ciclo A->B->C): A captura 5 items, B destruye (A': 'Failed to decode value Inventory mcwstairs:*'), C RE-INYECTA: restoredItems=5 conflicts=0 misses=0, la huella REAPARECE en playerdata. EL LEDGER RESTITUYE ITEMS DEL JUGADOR POR PRIMERA VEZ
2026-06-15 21:27 | F3 corte 4b | VEREDICTO: bucle de reversibilidad CERRADO para bloques Y items del jugador. §3.14 (perdida sistemica mundo+jugador) queda rebatido end-to-end. EnderItems fuera del alcance (corte 4b = mochila). CERRADO

2026-06-16 17:26 | F-inproc corte 1 | InProcess.probe: la busqueda del ancla iteraba solo lvls; el world-spawn en 1.21.x cuelga de la WorldData del MinecraftServer (class_1132.field_5518 -> ... -> GlobalPos class_4208), NO del ServerLevel. Fix: buscar el ancla desde el servidor primero (spawnDiag ya lo veia; la probe no), nivel a mutar desacoplado (primer ServerLevel con aire en la columna)
2026-06-16 17:26 | F-inproc corte 1 | EJECUTADO OK (--inproc1): handle vivo a ServerLevel + marshaling al Server thread; ancla world-spawn class_4208 [-128,76,16], ciclo reversible air->stone->air en vivo (afterSet=minecraft:stone, afterRestore=minecraft:air) en el hilo del servidor, mundo intacto, 0 corrupcion. EL AGENTE MUTA EL MUNDO VIVO SIN REINICIAR POR PRIMERA VEZ (§3.5 end-goal: primeras dos capacidades nuevas probadas)
2026-06-16 17:26 | F-inproc corte 1 | VEREDICTO: de-risk del end-goal in-process CERRADO. No es teardown Tier 1 todavia (filtrado registro + barrido vivo + reload datapack); prueba que handle vivo + marshaling al hilo del server funcionan. spawnDiag (scaffolding) candidato a retirar

2026-06-19 21:02 | F-tier1 corte 1 | InProcess.tier1Sweep: localizar+capturar+barrer footprint mcwstairs en vivo. Resolucion saveAllChunks por forma (instance, 3-bool, retorno void|boolean — relajacion vs primer intento que pinneaba class_1132/MinecraftServer); fix: getDeclaredMethods con jerarquia (saveAllChunks es protected, getMethods no la ve)
2026-06-19 21:02 | F-tier1 corte 1 | wait: setBlocks Δ≥5 + margen 15s (no wcg.counts: la plantilla tiene chunk fantasma con mcwstairs que satisface wcg.counts>0 ANTES de que el usuario coloque). dryRun NO guarda (si guardara, chunks quedan clean → forced=true del sweep no los reserializa, captureChunk no corre)
2026-06-19 21:02 | F-tier1 corte 1 | hallazgo durable: saveAllChunks(forced=true) en 1.21.x solo reserializa chunks DIRTY (no todos los cargados). Fix: pre-save, setBlock dummy en (cx*16+8, 70, cz*16+8) de un cuboide 17x17 alrededor del world spawn (867 setBlocks dummies marcan dirty); luego forced=true reserializa = 642 chunks (vs ~49 antes)
2026-06-19 21:02 | F-tier1 corte 1 | hallazgo durable 2: byChunk se desincroniza bajo armed save (scanArmedNsHits=1 pero chunksWithNs=0 → algo limpia byChunk despues). Fix arquitectonico: capturedPositions list-of-(x,y,z) que captureCell registra; el sweep itera EXACTAMENTE esas posiciones (zero ambiguity, 1:1 captura↔barrido)
2026-06-19 21:02 | F-tier1 corte 1 | EJECUTADO OK (--tier1-1, mundo mksa-test sobre plantilla con huella mcwstairs fantasma + 6 escaleras del usuario): dryRun wouldSweep=7, sweep real captured=7 swept=7 residual=0 chunksAffected=1 sweepErrors=0, restore file MKSAR1 865 bytes simetrico al corte 3. EL LEDGER BARRE EL MUNDO VIVO POR PRIMERA VEZ
2026-06-19 21:02 | F-tier1 corte 1 | VEREDICTO: tier 1 corte 1 CERRADO. Deudas tecnicas documentadas (= pieza 2 del corte 2): saveAllChunks fuerza persistencia global (no es zero-IO); 867 setBlocks dummies pre-save son hack para fuerza dirty (la API zero-IO seria SerializableChunkData.copyOf(chunk).write()); byChunk desincroniza bajo armed (resuelto via capturedPositions). Siguiente: corte 2 (captura quirurgica zero-IO + actualizacion incremental byChunk desde onSetBlock)
2026-06-20 09:00 | F-tier1 corte 2 | InProcess.tier1Sweep pieza 1: captura quirurgica zero-IO via SerializableChunkData.copyOf(level,chunk).write() sobre chunksWithNs(ns); el write-hook ya inyectado dispara sobre el CompoundTag in-memory sin tocar disco. Si copyOf retorna null (chunk no dirty), un setBlock(currentState) fuerza dirty y se reintenta. dirtied proporcional a la huella (1-10), no a view distance (corte 1 hacia 867)
2026-06-20 09:00 | F-tier1 corte 2 | InProcess.tier1Sweep pieza 2: byChunk in-vivo desde onSetBlock (transformer ya inyectaba ALOAD prev+new al ARETURN). updateByChunk(ckey, prevNs, newNs) atomico via ConcurrentHashMap.compute; wcg.counts deja de mentir. aggregateStale=false en lugar del scan() post-save del corte 1. Diagnostico: setBlockPrevNull/PrevSame/NsNull/NsEqual/BothVanilla + byChunkInc/Dec
2026-06-20 09:00 | F-tier1 corte 2 | BUG INTERMITENTE (intentos N): el corte funcionaba la 1a vez y fallaba en la 2a. Causa raiz = resolveGetBlock cogia el primer Method no-arg cuyo retorno fuera un Block registrado; JVM Class.getMethods() NO garantiza orden estable entre invocaciones. En BlockBehaviour$BlockStateBase hay multiples candidatos (getBlock real + accesores del owner + bridges por covariant return). Run 1 caia en method_26204 (correcto), run 2 caia en otro -> blockOf(state) devolvia el Block equivocado -> namespaceOf colapsaba a "minecraft" para todos -> byChunkInc=0, wouldSweep=0 sin error visible
2026-06-20 09:00 | F-tier1 corte 2 | FIX (Ledger.resolveGetBlock): desambiguar por COMPORTAMIENTO sobre dos anclas, mismo patron que resolveGet del P3 §3.6 (get vs remove). Toma blockA/blockB distintos del registro vivo; resuelve defaultBlockState() exigiendo retorno distinto para A y B (filtra singletons tipo AIR); del candidato sobre stateClass exige identidad rA==blockA && rB==blockB. Firma resuelta cacheada en getBlockMethodSig (visible en ledger.stats); verify imprime getBlock=<sig> en la pieza 2
2026-06-20 09:00 | F-tier1 corte 2 | EJECUTADO OK (--tier1-2): getBlock=net.minecraft.class_4970$class_4971.method_26204 (BlockBehaviour$BlockStateBase.getBlock); captured=7 swept=7 residual=0 chunksAffected=1 sweepErrors=0 aggregateStale=false dirtied=0; chunksProbed=1 copyOfCalls=1 writesTriggered=1 writtenDelta=1. La promesa zero-IO "coste proporcional al footprint, no al view distance" pasa de aspiracional a real (1 vs 867 del corte 1)
2026-06-20 09:00 | F-tier1 corte 2 | APRENDIZAJE durable (proyecto.md §3.18): toda resolucion estructural por reflexion en MC ("primer Method que pase la firma") es ambigua por construccion cuando hay multiples candidatos validos; getMethods() decide y el JVM no garantiza orden estable. Patron: desambiguar por comportamiento sobre anclas conocidas + cachear firma resuelta (.<clase>.<metodo>) en stats para diag. CERRADO
2026-06-21 01:15 | F-tier1 corte 3 | LedgerTransformer: segunda inyeccion sobre LevelChunk.setBlockState (la misma clase del corte 2). Visitor unico (SetBlockHookVisitor) hace visitCode (veto al entry) + visitInsn ARETURN (observacion pieza 2). En vetoCase null como ARETURN -> el observador del corte 2 NUNCA corre para colocaciones vetadas (byChunkInc Δ=0 en FASE B confirma) -> contadores no se inflan con mutaciones que no ocurrieron
2026-06-21 01:15 | F-tier1 corte 3 | Bridge.shouldVeto(Object): boolean. Hot path: sin sink, return false. Con sink: try-catch -> false ante cualquier excepcion. Ledger.shouldVeto: volatile read armedBlockVeto + isEmpty (fast path 99%) -> namespaceOf(state) reusa el cache del corte 2 -> Set.contains. Sin reflexion nueva en hot path
2026-06-21 01:15 | F-tier1 corte 3 | null como senal canonica: MC mismo emite null en setBlockState cuando prev==state (idempotencia). Caller (Level.setBlock, BlockItem.useOn, pistones, dispensadores) ya sabe tratarlo: no envia packet, no dispara neighbor updates, item NO se consume. Indistinguible del idempotente nativo -> sin desync de cliente, sin fake updates
2026-06-21 01:15 | F-tier1 corte 3 | BUG INTERMITENTE (1er intento): el juego cerraba al cargar el mundo. Causa raiz = stack map frames. La inyeccion del veto introduce un branch target NUEVO (skipVeto); class files Java 6+ exigen un frame en cada jump target. Con COMPUTE_MAXS (no COMPUTE_FRAMES, que requiere resolver jerarquia de clases de MC desde nuestro CL) sin frame manual -> VerifyError al cargar LevelChunk -> crash inmediato. Hook del corte 2 al ARETURN no sufria porque no anade jump target
